m,n,k,b,p,q,algo,lookahead,gflops
1024,1024,1024,256,2,2,p2p,0,48.908710
1024,1024,1024,256,2,2,p2p,0,49.994961
1024,1024,1024,256,2,2,p2p,0,49.983326
1024,1024,1024,256,2,2,p2p,0,49.907822
1024,1024,1024,256,2,2,p2p,0,49.801343
1024,1024,1024,256,2,2,bcast,0,42.668062
1024,1024,1024,256,2,2,bcast,0,49.618382
1024,1024,1024,256,2,2,bcast,0,49.847581
1024,1024,1024,256,2,2,bcast,0,49.949610
1024,1024,1024,256,2,2,bcast,0,49.928709
1024,1024,1024,256,2,2,p2p-i-la,1,47.828144
1024,1024,1024,256,2,2,p2p-i-la,1,49.353823
1024,1024,1024,256,2,2,p2p-i-la,1,49.483470
1024,1024,1024,256,2,2,p2p-i-la,1,49.368575
1024,1024,1024,256,2,2,p2p-i-la,1,49.289259
1024,1024,1024,256,2,2,p2p-i-la,2,46.674282
1024,1024,1024,256,2,2,p2p-i-la,2,49.197791
1024,1024,1024,256,2,2,p2p-i-la,2,49.398099
1024,1024,1024,256,2,2,p2p-i-la,2,49.236143
1024,1024,1024,256,2,2,p2p-i-la,2,48.296043
1024,1024,1024,256,2,2,p2p-i-la,3,42.494976
1024,1024,1024,256,2,2,p2p-i-la,3,48.966703
1024,1024,1024,256,2,2,p2p-i-la,3,48.730029
1024,1024,1024,256,2,2,p2p-i-la,3,49.129137
1024,1024,1024,256,2,2,p2p-i-la,3,49.198921
1024,1024,1024,256,2,2,p2p-i-la,4,42.247518
1024,1024,1024,256,2,2,p2p-i-la,4,49.024829
1024,1024,1024,256,2,2,p2p-i-la,4,49.038266
1024,1024,1024,256,2,2,p2p-i-la,4,48.958888
1024,1024,1024,256,2,2,p2p-i-la,4,48.913167
2048,2048,2048,256,2,2,p2p,0,44.623850
2048,2048,2048,256,2,2,p2p,0,50.237943
2048,2048,2048,256,2,2,p2p,0,50.187749
2048,2048,2048,256,2,2,p2p,0,50.007040
2048,2048,2048,256,2,2,p2p,0,49.789363
2048,2048,2048,256,2,2,bcast,0,50.262635
2048,2048,2048,256,2,2,bcast,0,49.781426
2048,2048,2048,256,2,2,bcast,0,50.326094
2048,2048,2048,256,2,2,bcast,0,49.907965
2048,2048,2048,256,2,2,bcast,0,49.897096
