m,n,k,b,p,q,algo,lookahead,gflops
1024,1024,1024,256,2,2,p2p,0,68.016456
1024,1024,1024,256,2,2,p2p,0,85.353087
1024,1024,1024,256,2,2,p2p,0,86.047350
1024,1024,1024,256,2,2,p2p,0,85.837546
1024,1024,1024,256,2,2,p2p,0,84.623228
1024,1024,1024,256,2,2,bcast,0,80.954635
1024,1024,1024,256,2,2,bcast,0,84.254693
1024,1024,1024,256,2,2,bcast,0,85.069074
1024,1024,1024,256,2,2,bcast,0,76.910092
1024,1024,1024,256,2,2,bcast,0,84.944566
1024,1024,1024,256,2,2,p2p-i-la,1,76.624694
1024,1024,1024,256,2,2,p2p-i-la,1,80.726398
1024,1024,1024,256,2,2,p2p-i-la,1,81.073830
1024,1024,1024,256,2,2,p2p-i-la,1,79.187422
1024,1024,1024,256,2,2,p2p-i-la,1,80.817538
1024,1024,1024,256,2,2,p2p-i-la,2,74.307394
1024,1024,1024,256,2,2,p2p-i-la,2,80.556816
1024,1024,1024,256,2,2,p2p-i-la,2,80.659693
1024,1024,1024,256,2,2,p2p-i-la,2,78.395343
1024,1024,1024,256,2,2,p2p-i-la,2,76.745180
1024,1024,1024,256,2,2,p2p-i-la,3,72.296108
1024,1024,1024,256,2,2,p2p-i-la,3,79.959923
1024,1024,1024,256,2,2,p2p-i-la,3,80.523593
1024,1024,1024,256,2,2,p2p-i-la,3,78.121566
1024,1024,1024,256,2,2,p2p-i-la,3,80.019510
1024,1024,1024,256,2,2,p2p-i-la,4,66.799915
1024,1024,1024,256,2,2,p2p-i-la,4,75.623611
1024,1024,1024,256,2,2,p2p-i-la,4,77.258729
1024,1024,1024,256,2,2,p2p-i-la,4,78.740282
1024,1024,1024,256,2,2,p2p-i-la,4,79.059146
2048,2048,2048,256,2,2,p2p,0,87.944498
2048,2048,2048,256,2,2,p2p,0,89.836425
2048,2048,2048,256,2,2,p2p,0,89.751950
2048,2048,2048,256,2,2,p2p,0,87.408896
2048,2048,2048,256,2,2,p2p,0,89.778683
2048,2048,2048,256,2,2,bcast,0,88.427490
2048,2048,2048,256,2,2,bcast,0,88.833515
2048,2048,2048,256,2,2,bcast,0,89.571790
2048,2048,2048,256,2,2,bcast,0,88.431587
2048,2048,2048,256,2,2,bcast,0,89.856631
2048,2048,2048,256,2,2,p2p-i-la,1,85.547321
2048,2048,2048,256,2,2,p2p-i-la,1,86.500086
2048,2048,2048,256,2,2,p2p-i-la,1,87.234467
2048,2048,2048,256,2,2,p2p-i-la,1,86.922865
2048,2048,2048,256,2,2,p2p-i-la,1,87.304514
2048,2048,2048,256,2,2,p2p-i-la,2,83.765425
2048,2048,2048,256,2,2,p2p-i-la,2,87.935490
2048,2048,2048,256,2,2,p2p-i-la,2,87.332469
2048,2048,2048,256,2,2,p2p-i-la,2,86.836309
2048,2048,2048,256,2,2,p2p-i-la,2,87.353788
2048,2048,2048,256,2,2,p2p-i-la,3,84.527051
2048,2048,2048,256,2,2,p2p-i-la,3,86.814371
2048,2048,2048,256,2,2,p2p-i-la,3,86.988003
2048,2048,2048,256,2,2,p2p-i-la,3,87.433363
2048,2048,2048,256,2,2,p2p-i-la,3,86.999457
2048,2048,2048,256,2,2,p2p-i-la,4,84.210089
2048,2048,2048,256,2,2,p2p-i-la,4,86.874515
2048,2048,2048,256,2,2,p2p-i-la,4,87.940447
2048,2048,2048,256,2,2,p2p-i-la,4,86.994606
2048,2048,2048,256,2,2,p2p-i-la,4,86.651043
2048,2048,2048,256,2,2,p2p-i-la,5,84.151931
2048,2048,2048,256,2,2,p2p-i-la,5,87.724005
2048,2048,2048,256,2,2,p2p-i-la,5,87.391113
2048,2048,2048,256,2,2,p2p-i-la,5,87.153929
2048,2048,2048,256,2,2,p2p-i-la,5,85.891614
2048,2048,2048,256,2,2,p2p-i-la,6,81.922811
2048,2048,2048,256,2,2,p2p-i-la,6,87.203917
2048,2048,2048,256,2,2,p2p-i-la,6,87.007828
2048,2048,2048,256,2,2,p2p-i-la,6,86.829285
2048,2048,2048,256,2,2,p2p-i-la,6,85.358597
2048,2048,2048,256,2,2,p2p-i-la,7,81.736504
2048,2048,2048,256,2,2,p2p-i-la,7,87.962957
2048,2048,2048,256,2,2,p2p-i-la,7,87.486347
2048,2048,2048,256,2,2,p2p-i-la,7,86.922865
2048,2048,2048,256,2,2,p2p-i-la,7,84.723803
2048,2048,2048,256,2,2,p2p-i-la,8,81.595975
2048,2048,2048,256,2,2,p2p-i-la,8,87.304514
2048,2048,2048,256,2,2,p2p-i-la,8,87.486792
2048,2048,2048,256,2,2,p2p-i-la,8,86.994606
2048,2048,2048,256,2,2,p2p-i-la,8,84.165126
3072,3072,3072,256,2,2,p2p,0,89.896196
3072,3072,3072,256,2,2,p2p,0,90.905189
3072,3072,3072,256,2,2,p2p,0,91.718951
3072,3072,3072,256,2,2,p2p,0,91.238921
3072,3072,3072,256,2,2,p2p,0,91.652981
3072,3072,3072,256,2,2,bcast,0,90.891794
3072,3072,3072,256,2,2,bcast,0,90.654473
3072,3072,3072,256,2,2,bcast,0,91.406777
3072,3072,3072,256,2,2,bcast,0,91.213940
3072,3072,3072,256,2,2,bcast,0,91.487688
3072,3072,3072,256,2,2,p2p-i-la,1,88.901993
3072,3072,3072,256,2,2,p2p-i-la,1,89.138710
3072,3072,3072,256,2,2,p2p-i-la,1,89.641027
3072,3072,3072,256,2,2,p2p-i-la,1,89.884633
3072,3072,3072,256,2,2,p2p-i-la,1,89.103373
3072,3072,3072,256,2,2,p2p-i-la,2,88.713064
3072,3072,3072,256,2,2,p2p-i-la,2,89.073120
3072,3072,3072,256,2,2,p2p-i-la,2,89.310201
3072,3072,3072,256,2,2,p2p-i-la,2,89.644356
3072,3072,3072,256,2,2,p2p-i-la,2,88.855812
3072,3072,3072,256,2,2,p2p-i-la,3,87.686197
3072,3072,3072,256,2,2,p2p-i-la,3,89.600998
3072,3072,3072,256,2,2,p2p-i-la,3,89.666261
3072,3072,3072,256,2,2,p2p-i-la,3,89.348460
3072,3072,3072,256,2,2,p2p-i-la,3,88.803825
3072,3072,3072,256,2,2,p2p-i-la,4,88.102965
3072,3072,3072,256,2,2,p2p-i-la,4,89.973056
3072,3072,3072,256,2,2,p2p-i-la,4,89.540940
3072,3072,3072,256,2,2,p2p-i-la,4,89.744119
3072,3072,3072,256,2,2,p2p-i-la,4,88.942635
3072,3072,3072,256,2,2,p2p-i-la,5,87.984511
3072,3072,3072,256,2,2,p2p-i-la,5,89.811672
3072,3072,3072,256,2,2,p2p-i-la,5,88.761276
3072,3072,3072,256,2,2,p2p-i-la,5,89.608336
3072,3072,3072,256,2,2,p2p-i-la,5,88.939090
3072,3072,3072,256,2,2,p2p-i-la,6,87.641665
3072,3072,3072,256,2,2,p2p-i-la,6,89.717591
3072,3072,3072,256,2,2,p2p-i-la,6,88.970887
3072,3072,3072,256,2,2,p2p-i-la,6,89.752590
3072,3072,3072,256,2,2,p2p-i-la,6,90.109388
3072,3072,3072,256,2,2,p2p-i-la,7,86.968606
3072,3072,3072,256,2,2,p2p-i-la,7,90.183252
3072,3072,3072,256,2,2,p2p-i-la,7,88.870383
3072,3072,3072,256,2,2,p2p-i-la,7,89.784698
3072,3072,3072,256,2,2,p2p-i-la,7,89.530853
3072,3072,3072,256,2,2,p2p-i-la,8,86.514046
3072,3072,3072,256,2,2,p2p-i-la,8,89.723425
3072,3072,3072,256,2,2,p2p-i-la,8,89.066416
3072,3072,3072,256,2,2,p2p-i-la,8,89.560717
3072,3072,3072,256,2,2,p2p-i-la,8,90.106166
3072,3072,3072,256,2,2,p2p-i-la,9,86.114825
3072,3072,3072,256,2,2,p2p-i-la,9,89.908883
3072,3072,3072,256,2,2,p2p-i-la,9,89.791925
3072,3072,3072,256,2,2,p2p-i-la,9,90.271702
3072,3072,3072,256,2,2,p2p-i-la,9,89.740369
3072,3072,3072,256,2,2,p2p-i-la,10,86.073153
3072,3072,3072,256,2,2,p2p-i-la,10,90.063620
3072,3072,3072,256,2,2,p2p-i-la,10,89.760374
3072,3072,3072,256,2,2,p2p-i-la,10,89.111584
3072,3072,3072,256,2,2,p2p-i-la,10,89.745369
3072,3072,3072,256,2,2,p2p-i-la,11,86.079536
3072,3072,3072,256,2,2,p2p-i-la,11,89.974595
3072,3072,3072,256,2,2,p2p-i-la,11,89.741337
3072,3072,3072,256,2,2,p2p-i-la,11,89.479868
3072,3072,3072,256,2,2,p2p-i-la,11,89.677627
3072,3072,3072,256,2,2,p2p-i-la,12,86.408067
3072,3072,3072,256,2,2,p2p-i-la,12,90.182692
3072,3072,3072,256,2,2,p2p-i-la,12,89.775103
3072,3072,3072,256,2,2,p2p-i-la,12,88.687005
3072,3072,3072,256,2,2,p2p-i-la,12,89.591995
