m,n,k,b,p,q,algo,lookahead,gflops
2048,2048,2048,512,2,2,p2p,0,122.398614
2048,2048,2048,512,2,2,p2p,0,122.355904
2048,2048,2048,512,2,2,p2p,0,116.944637
2048,2048,2048,512,2,2,p2p,0,121.375618
2048,2048,2048,512,2,2,p2p,0,116.241999
2048,2048,2048,512,2,2,bcast,0,114.953188
2048,2048,2048,512,2,2,bcast,0,124.302651
2048,2048,2048,512,2,2,bcast,0,120.822486
2048,2048,2048,512,2,2,bcast,0,122.856394
2048,2048,2048,512,2,2,bcast,0,115.53453
2048,2048,2048,512,2,2,p2p-i-la,1,111.33781
2048,2048,2048,512,2,2,p2p-i-la,1,118.647966
2048,2048,2048,512,2,2,p2p-i-la,1,119.608647
2048,2048,2048,512,2,2,p2p-i-la,1,114.16561
2048,2048,2048,512,2,2,p2p-i-la,1,117.179145
2048,2048,2048,512,2,2,p2p-i-la,2,117.845485
2048,2048,2048,512,2,2,p2p-i-la,2,119.346914
2048,2048,2048,512,2,2,p2p-i-la,2,115.022457
2048,2048,2048,512,2,2,p2p-i-la,2,115.313518
2048,2048,2048,512,2,2,p2p-i-la,2,113.51011
2048,2048,2048,512,2,2,p2p-i-la,3,101.180061
2048,2048,2048,512,2,2,p2p-i-la,3,108.420441
2048,2048,2048,512,2,2,p2p-i-la,3,115.484825
2048,2048,2048,512,2,2,p2p-i-la,3,117.799429
2048,2048,2048,512,2,2,p2p-i-la,3,119.14744
2048,2048,2048,512,2,2,p2p-i-la,4,115.80711
2048,2048,2048,512,2,2,p2p-i-la,4,115.199852
2048,2048,2048,512,2,2,p2p-i-la,4,113.918814
2048,2048,2048,512,2,2,p2p-i-la,4,112.244914
2048,2048,2048,512,2,2,p2p-i-la,4,114.626457
4096,4096,4096,512,2,2,p2p,0,123.211588
4096,4096,4096,512,2,2,p2p,0,123.798241
4096,4096,4096,512,2,2,p2p,0,123.200541
4096,4096,4096,512,2,2,p2p,0,121.343898
4096,4096,4096,512,2,2,p2p,0,122.534581
4096,4096,4096,512,2,2,bcast,0,121.957429
4096,4096,4096,512,2,2,bcast,0,118.143412
4096,4096,4096,512,2,2,bcast,0,118.74278
4096,4096,4096,512,2,2,bcast,0,116.436394
4096,4096,4096,512,2,2,bcast,0,115.602752
4096,4096,4096,512,2,2,p2p-i-la,1,116.91659
4096,4096,4096,512,2,2,p2p-i-la,1,121.139621
4096,4096,4096,512,2,2,p2p-i-la,1,122.565728
4096,4096,4096,512,2,2,p2p-i-la,1,117.118532
4096,4096,4096,512,2,2,p2p-i-la,1,120.545474
4096,4096,4096,512,2,2,p2p-i-la,2,117.236721
4096,4096,4096,512,2,2,p2p-i-la,2,118.498202
4096,4096,4096,512,2,2,p2p-i-la,2,117.69029
4096,4096,4096,512,2,2,p2p-i-la,2,119.154668
4096,4096,4096,512,2,2,p2p-i-la,2,119.592729
4096,4096,4096,512,2,2,p2p-i-la,3,121.226911
4096,4096,4096,512,2,2,p2p-i-la,3,119.980371
4096,4096,4096,512,2,2,p2p-i-la,3,117.780559
4096,4096,4096,512,2,2,p2p-i-la,3,118.937514
4096,4096,4096,512,2,2,p2p-i-la,3,119.38839
4096,4096,4096,512,2,2,p2p-i-la,4,116.834684
4096,4096,4096,512,2,2,p2p-i-la,4,116.28084
4096,4096,4096,512,2,2,p2p-i-la,4,117.309272
4096,4096,4096,512,2,2,p2p-i-la,4,119.105516
4096,4096,4096,512,2,2,p2p-i-la,4,117.185636
4096,4096,4096,512,2,2,p2p-i-la,5,116.303573
4096,4096,4096,512,2,2,p2p-i-la,5,116.803814
4096,4096,4096,512,2,2,p2p-i-la,5,114.379006
4096,4096,4096,512,2,2,p2p-i-la,5,118.781879
4096,4096,4096,512,2,2,p2p-i-la,5,116.700965
4096,4096,4096,512,2,2,p2p-i-la,6,120.137688
4096,4096,4096,512,2,2,p2p-i-la,6,119.757165
4096,4096,4096,512,2,2,p2p-i-la,6,122.591532
4096,4096,4096,512,2,2,p2p-i-la,6,122.175882
4096,4096,4096,512,2,2,p2p-i-la,6,122.620517
4096,4096,4096,512,2,2,p2p-i-la,7,121.469698
4096,4096,4096,512,2,2,p2p-i-la,7,121.081772
4096,4096,4096,512,2,2,p2p-i-la,7,122.856944
4096,4096,4096,512,2,2,p2p-i-la,7,124.168109
4096,4096,4096,512,2,2,p2p-i-la,7,122.186525
4096,4096,4096,512,2,2,p2p-i-la,8,122.874843
4096,4096,4096,512,2,2,p2p-i-la,8,121.202009
4096,4096,4096,512,2,2,p2p-i-la,8,119.94048
4096,4096,4096,512,2,2,p2p-i-la,8,119.974191
4096,4096,4096,512,2,2,p2p-i-la,8,122.604321
6144,6144,6144,512,2,2,p2p,0,124.967694
6144,6144,6144,512,2,2,p2p,0,124.598679
6144,6144,6144,512,2,2,p2p,0,126.06217
6144,6144,6144,512,2,2,p2p,0,126.666898
6144,6144,6144,512,2,2,p2p,0,126.764417
6144,6144,6144,512,2,2,bcast,0,125.931566
6144,6144,6144,512,2,2,bcast,0,124.031399
